driverId,week,hours-logged,miles-logged
635,47,78,2100
624,49,60,2700
766,42,55,1200
148,18,63,2500
929,26,71,4000
478,33,75,300
273,16,50,800
300,23,63,3400
234,50,75,2200
564,42,75,3600
168,4,71,1000
689,32,78,300
734,28,73,3800
756,15,70,3300
994,39,73,3200
661,19,68,1300
429,44,53,4000
438,50,76,1300
415,5,55,1600
47,26,76,4000
445,15,54,1500
1002,24,50,3900
229,51,56,3100
289,48,73,200
474,17,73,2200
250,49,70,3700
527,33,70,2400
349,22,70,100
310,16,67,2000
727,25,55,3600
318,11,70,2600
926,30,75,2700
497,29,62,2600
669,46,75,500
526,37,63,2100
750,44,51,300
988,18,78,200
78,49,54,1800
543,3,59,1700
397,28,69,2800
570,26,73,3700
152,5,78,2000
453,37,69,3400
995,49,61,1300
752,45,56,3600
986,34,59,100
416,50,64,1500
434,30,67,2000
634,32,63,2700
751,23,76,1600
853,48,50,2800
531,5,75,2600
340,34,67,2000
590,41,64,600
524,38,64,2100
387,22,52,3800
679,2,57,1500
218,34,58,1400
205,30,66,1200
93,47,79,3800
794,4,53,1500
988,46,67,3100
410,25,77,2500
94,28,53,2200
375,16,69,2500
955,41,55,3000
959,39,69,2200
912,1,66,1700
81,51,61,4000
976,14,53,1100
888,26,74,600
865,29,57,1500
551,34,60,1100
242,12,75,700
738,32,63,700
337,7,53,1500
390,2,50,2500
778,3,78,1800
295,32,65,1500
956,29,59,2400
819,22,75,2500
248,32,64,3900
313,2,55,2800
337,19,65,2500
101,16,68,2500
676,38,74,2500
266,25,67,800
746,32,58,2200
927,48,57,300
1001,41,67,2100
373,33,51,3700
39,32,53,2200
995,28,77,2800
176,41,55,3400
640,44,78,1500
333,3,72,2100
643,17,79,2000
324,36,66,1800
463,42,66,3900
207,49,53,1900
260,8,64,3900
999,43,66,0
16,44,55,2800
915,33,72,2900
867,7,79,700
450,44,76,3500
21,9,50,1800
467,13,75,3200
961,1,78,1200
12,30,72,100
916,37,73,1700
421,46,51,1900
234,19,78,3900
763,37,72,1700
168,34,68,3700
556,29,75,1400
135,11,57,1100
577,29,78,2400
449,38,52,3200
758,9,64,2500
24,11,52,3500
850,35,79,800
742,9,70,4000
891,36,58,3800
15,51,58,900
1000,4,55,3400
76,16,54,1500
698,7,76,2800
565,11,60,900
13,15,52,2500
212,52,55,1300
619,3,54,1100
607,31,53,600
723,26,63,1500
600,6,68,2600
163,43,68,1600
28,23,52,1500
335,44,71,2300
961,32,67,3700
77,8,52,1900
582,28,54,800
864,5,74,2300
507,19,78,3200
267,46,80,3100
159,31,59,600
607,27,50,500
705,13,69,3500
557,25,67,2400
905,29,80,0
271,31,74,0
261,27,56,1100
330,30,74,3900
41,28,62,900
576,1,51,0
905,13,70,2900
755,38,70,2800
337,6,58,300
367,31,52,800
394,20,66,2000
304,24,79,2600
921,7,50,1200
657,13,77,3700
661,3,58,3000
992,13,62,1500
18,51,57,1000
537,11,79,2200
1005,21,52,2700
629,29,80,2100
428,17,57,2400
811,8,60,3900
193,9,72,2300
943,7,55,2800
997,12,57,3700
507,35,72,2200
66,23,69,3900
72,9,80,3300
40,17,69,2800
400,42,77,200
827,7,75,500
653,38,76,700
643,51,80,3400
150,39,64,600
391,51,51,3100
488,1,56,3100
613,10,51,900
499,35,68,1800
859,51,69,1000
394,43,69,900
742,43,74,2900
613,8,80,3600
111,26,71,300
583,12,77,900
139,46,56,1300
972,52,52,1100
13,24,65,2900
685,27,54,3500
238,10,53,3300
247,40,60,1400
837,32,63,1100
447,3,73,2700
43,22,61,2100
902,49,78,4000
62,32,79,2200
625,49,54,3300
657,30,68,700
191,29,56,3400
737,13,69,1900
66,5,76,1700
378,51,73,0
389,17,61,2600
179,42,60,700
643,2,72,3400
28,5,69,3000
429,31,64,2200
981,37,69,2900
503,10,59,800
921,23,74,2400
510,44,62,1400
698,34,55,2000
923,47,70,2300
885,50,52,4000
274,12,52,2400
332,22,62,3800
176,35,72,3100
95,4,69,1800
560,1,52,2000
952,3,50,700
472,13,62,3600
905,12,75,3400
851,26,58,2300
933,51,73,2200
258,25,67,700
649,33,68,3800
413,8,78,2200
715,27,67,3600
511,50,72,3200
898,30,79,3700
484,37,68,500
105,15,64,700
388,1,61,1200
778,25,67,1300
607,35,78,900
1005,13,50,500
940,25,64,3900
750,3,75,1900
174,23,69,2800
512,1,53,1400
670,17,57,500
468,36,65,600
897,36,60,2800
441,14,54,2400
434,26,55,3100
371,38,58,3100
525,31,56,700
196,13,67,2200
952,11,58,3900
634,27,57,4000
235,16,73,2800
261,37,62,3400
583,34,78,1900
875,36,64,2900
850,14,70,3600
625,52,67,1100
699,22,64,2700
350,3,59,100
139,23,77,3300
87,43,52,600
335,5,57,3300
640,19,61,700
259,22,76,700
327,16,60,2400
632,52,77,2500
420,23,56,4000
675,34,50,400
317,3,57,2600
162,20,74,3800
281,49,65,1200
250,4,63,300
406,13,80,1300
543,49,64,2500
1003,37,72,3200
382,48,68,2700
604,10,53,1800
957,14,61,800
464,38,56,3200
979,24,68,800
953,26,77,200
376,47,58,2500
725,15,57,400
466,39,64,2000
97,40,59,1300
238,17,56,2500
455,25,70,3400
478,35,72,1700
793,34,63,2000
290,50,75,2400
952,16,61,900
617,30,50,3500
358,28,64,2600
223,8,62,2400
585,19,52,2200
476,10,79,2300
540,42,72,2300
287,12,65,1200
483,3,69,3000
24,13,64,4000
619,7,78,600
473,13,66,0
564,48,57,1800
960,44,75,400
309,4,72,1000
287,20,66,100
760,10,74,2400
394,18,57,2500
521,2,58,700
655,26,72,3300
609,35,53,3900
297,21,75,300
50,39,64,3500
61,39,58,4000
940,8,73,2000
338,19,72,2000
515,12,72,900
223,36,76,3200
878,23,56,2400
35,33,56,1100
261,24,67,1300
175,7,78,900
1004,5,77,100
997,24,71,600
278,51,75,100
857,30,62,2700
563,16,79,700
770,27,80,400
136,25,50,0
247,14,77,1000
732,16,63,700
642,20,73,200
177,27,77,2600
537,40,58,2800
687,17,73,3600
136,1,53,2000
394,43,79,1900
898,45,52,1000
707,23,58,1500
368,33,60,1600
572,1,57,3300
332,9,76,3400
70,37,51,2300
685,40,78,2200
332,23,68,1300
510,2,76,2500
226,37,64,3000
384,35,58,2100
786,23,80,1800
160,12,57,2700
766,45,72,2900
796,6,67,1000
161,25,58,1100
